glyph_index	text_code	char
0x0774	0x0574	므
0x0775	0x0575	믄
0x0776	0x0576	믈
0x0777	0x0577	믐
0x0778	0x0578	믓
0x0779	0x0579	미
0x077a	0x057a	믹
0x077b	0x057b	민
0x077c	0x057c	믿
0x077d	0x057d	밀
0x077e	0x057e	밂
0x077f	0x057f	밈
0x0780	0x0580	밉
0x0781	0x0581	밋
0x0782	0x0582	밌
0x0783	0x0583	밍
0x0784	0x0584	및
0x0785	0x0585	밑
0x0786	0x0586	바
0x0787	0x0587	박
0x0788	0x0588	밖
0x0789	0x0589	밗
0x078a	0x058a	반
0x078b	0x058b	받
0x078c	0x058c	발
0x078d	0x058d	밝
0x078e	0x058e	밞
0x078f	0x058f	밟
0x0790	0x0590	밤
0x0791	0x0591	밥
0x0792	0x0592	밧
0x0793	0x0593	방
0x0794	0x0594	밭
0x0795	0x0595	배
0x0796	0x0596	백
0x0797	0x0597	밴
0x0798	0x0598	밸
0x0799	0x0599	뱀
0x079a	0x059a	뱁
0x079b	0x059b	뱃
0x079c	0x059c	뱄
0x079d	0x059d	뱅
0x079e	0x059e	뱉
0x079f	0x059f	뱌
0x07a0	0x05a0	뱍
0x07a1	0x05a1	뱐
0x07a2	0x05a2	뱝
0x07a3	0x05a3	버
0x07a4	0x05a4	벅
0x07a5	0x05a5	번
0x07a6	0x05a6	벋
0x07a7	0x05a7	벌
0x07a8	0x05a8	벎
0x07a9	0x05a9	범
0x07aa	0x05aa	법
0x07ab	0x05ab	벗
0x07ac	0x05ac	벙
0x07ad	0x05ad	벚
0x07ae	0x05ae	베
0x07af	0x05af	벡
0x07b0	0x05b0	벤
0x07b1	0x05b1	벧
0x07b2	0x05b2	벨
0x07b3	0x05b3	벰
0x07b4	0x05b4	벱
0x07b5	0x05b5	벳
0x07b6	0x05b6	벴
0x07b7	0x05b7	벵
0x07b8	0x05b8	벼
0x07b9	0x05b9	벽
0x07ba	0x05ba	변
0x07bb	0x05bb	별
0x07bc	0x05bc	볍
0x07bd	0x05bd	볏
0x07be	0x05be	볐
0x07bf	0x05bf	병
0x07c0	0x05c0	볕
0x07c1	0x05c1	볘
0x07c2	0x05c2	볜
0x07c3	0x05c3	보
0x07c4	0x05c4	복
0x07c5	0x05c5	볶
0x07c6	0x05c6	본
0x07c7	0x05c7	볼
0x07c8	0x05c8	봄
0x07c9	0x05c9	봅
0x07ca	0x05ca	봇
0x07cb	0x05cb	봉
0x07cc	0x05cc	봐
0x07cd	0x05cd	봔
0x07ce	0x05ce	봤
0x07cf	0x05cf	봬
0x07d0	0x05d0	뵀
0x07d1	0x05d1	뵈
0x07d2	0x05d2	뵉
0x07d3	0x05d3	뵌
0x07d4	0x05d4	뵐
0x07d5	0x05d5	뵘
0x07d6	0x05d6	뵙
0x07d7	0x05d7	뵤
0x07d8	0x05d8	뵨
0x07d9	0x05d9	부
0x07da	0x05da	북
0x07db	0x05db	분
0x07dc	0x05dc	붇
0x07dd	0x05dd	불
0x07de	0x05de	붉
0x07df	0x05df	붊
0x07e0	0x05e0	붐
0x07e1	0x05e1	붑
0x07e2	0x05e2	붓
0x07e3	0x05e3	붕
0x07e4	0x05e4	붙
0x07e5	0x05e5	붚
0x07e6	0x05e6	붜
0x07e7	0x05e7	붤
0x07e8	0x05e8	붰
0x07e9	0x05e9	붸
0x07ea	0x05ea	뷔
0x07eb	0x05eb	뷕
0x07ec	0x05ec	뷘
0x07ed	0x05ed	뷜
0x07ee	0x05ee	뷩
0x07ef	0x05ef	뷰
0x07f0	0x05f0	뷴
0x07f1	0x05f1	뷸
0x07f2	0x05f2	븀
0x07f3	0x05f3	븃
0x07f4	0x05f4	븅
0x07f5	0x05f5	브
0x07f6	0x05f6	븍
0x07f7	0x05f7	븐
0x07f8	0x05f8	블
